automaticTrigger;0f;2f;10f;10f;openingCutscene
automaticTrigger;0f;-300f;10f;10f;move+obstacles
automaticTrigger;0f;-2500f;10f;10f;targets+obstacles
automaticTrigger;0f;-5400f;10f;10f;teleportation+targets
automaticTrigger;0f;-9400f;10f;10f;teleport_through_obstacles+targets
automaticTrigger;0f;-11000f;10f;10f;powerups+targets+repair
automaticTrigger;0f;-12300f;10f;10f;bombs+targets
automaticTrigger;0f;-13700f;10f;10f;use_bombs_sparingly
automaticTrigger;0f;-15600f;10f;10f;done!
target;280;-2640
target;510;-2790
target;740;-2930
target;670;-3560
target;460;-3270
target;370;-3270
target;280;-3270
target;190;-3270
target;160;-4300
target;640;-4560
target;730;-4560
target;820;-4560
target;940;-7540
target;930;-8020
target;90;-7790
target;80;-8290
target;230;-9000
target;230;-8680
target;780;-8540
target;780;-8830
target;650;-9860
target;750;-9860
target;850;-9860
target;320;-10240
target;220;-10240
target;120;-10240
target;680;-10590
target;780;-10590
target;880;-10590
powerup;640;-10980
target;810;-11200
target;710;-11280
target;610;-11360
repair;230;-11610
bomb;440;-12190
bomb;500;-12250
bomb;560;-12190
target;460;-13210
target;560;-13210
target;560;-13110
target;460;-13110
target;130;-13110
target;30;-13110
target;30;-13210
target;130;-13210
target;870;-13210
target;970;-13210
target;970;-13110
target;870;-13110
target;910;-14700
target;800;-14700
target;690;-14700
target;730;-14820
target;620;-14820
target;510;-14820
