automaticTrigger;0f;2f;10f;10f;openingCutscene
automaticTrigger;0f;-250f;10f;10f;attack_formation!
smallShip;910;-1870;-1
smallShip;770;-2010;-1
smallShip;910;-2130;-1
smallShip;130;-2590;1
smallShip;250;-2690;1
smallShip;130;-2810;1
drone;740;-3000;1
drone;410;-3150;1
drone;110;-3360;1
drone;60;-4310;1
drone;180;-4220;1
drone;310;-4140;1
drone;450;-4060;1
drone;610;-4140;1
drone;770;-4220;1
drone;910;-4330;1
octaDrone;480;-4880;1;60
drone;130;-4880;1
drone;810;-4880;1
smallShip;30;-5040;1
smallShip;140;-5120;1
smallShip;40;-5220;1
smallShip;870;-5360;-1
smallShip;770;-5460;-1
smallShip;870;-5540;-1
