automaticTrigger;0f;2f;10f;10f;openingCutscene
automaticTrigger;0f;-1600f;10f;10f;shootThemDown
automaticTrigger;0f;-3000f;10f;10f;watchYourSix
automaticTrigger;0f;-5000f;10f;10f;shotsFromBehind
automaticTrigger;0f;-6000f;10f;10f;bigBouldersAhead
automaticTrigger;0f;-11000f;10f;10f;checkpointReached
automaticTrigger;0f;-11400f;10f;10f;moreShotsFromBehind
automaticTrigger;0f;-13200f;10f;10f;zackDies
automaticTrigger;0f;-15750f;10f;10f;useTeleportToGetThrough
automaticTrigger;0f;-17250f;10f;10f;fridaDies
automaticTrigger;0f;-19000f;10f;10f;theEnemeyIsPersistent
automaticTrigger;0f;-20500f;10f;10f;nathanDies
automaticTrigger;0f;-21700f;10f;10f;yupStillMoreShots
automaticTrigger;0f;-22500f;10f;10f;findShelter
automaticTrigger;0f;-23300f;10f;10f;finalBarrageOfShots
automaticTrigger;0f;-24300f;10f;10f;skyeDies
automaticTrigger;0f;-25200f;10f;10f;levelFinished
smallAsteroid;118;-1702;1;330
smallAsteroid;878;-2452;-1;440
smallAsteroid;878;-2062;-1;510
smallAsteroid;738;-2132;-1;510
smallAsteroid;598;-2232;-1;510
smallAsteroid;-72;-1182;1;150
smallAsteroid;-32;-1322;1;150
smallAsteroid;28;-1472;1;150
smallAsteroid;108;-872;1;440
smallAsteroid;788;-1082;-1;530
smallAsteroid;88;-2382;1;510
smallAsteroid;348;-2662;1;510
smallAsteroid;708;-1362;-1;420
smallAsteroid;458;-1492;-1;420
smallAsteroid;738;-1912;-1;510
smallAsteroid;218;-2582;1;510
smallAsteroid;1048;-4432;-1;150
smallAsteroid;408;-4492;1;400
smallAsteroid;68;-5112;1;400
smallAsteroid;218;-5372;1;500
smallAsteroid;778;-4892;1;500
smallAsteroid;918;-5082;1;400
repair;525;-5435;1;0
bigAsteroid;65;-7725;1;220
smallAsteroid;408;-7592;1;220
bigAsteroid;815;-7405;-1;230
bigAsteroid;605;-8205;1;400
smallAsteroid;368;-8242;1;400
smallAsteroid;918;-8242;1;400
smallAsteroid;468;-8142;1;400
bigAsteroid;1005;-7875;-1;230
smallAsteroid;578;-7632;1;220
smallAsteroid;28;-7632;1;400
smallAsteroid;118;-7742;1;400
bigAsteroid;825;-8605;-1;330
smallAsteroid;-2;-8702;1;310
bigAsteroid;-35;-9185;1;140
smallAsteroid;918;-8952;-1;150
smallAsteroid;808;-8962;1;500
powerup;948;-10160;1;0
smallAsteroid;378;-9572;1;600
smallAsteroid;508;-9602;1;600
smallAsteroid;438;-9762;1;600
smallAsteroid;558;-9882;1;600
smallAsteroid;418;-9922;1;600
smallAsteroid;488;-10052;1;600
smallAsteroid;388;-10072;1;600
smallAsteroid;468;-10202;1;600
smallAsteroid;578;-10302;1;600
smallAsteroid;458;-10362;1;600
smallAsteroid;508;-10492;1;600
smallAsteroid;678;-12602;1;410
smallAsteroid;928;-12572;-1;410
smallAsteroid;138;-11542;1;440
smallAsteroid;878;-11972;-1;440
bigAsteroid;155;-12625;1;400
bigAsteroid;815;-12785;-1;10
smallAsteroid;238;-1842;1;510
smallAsteroid;88;-2032;1;540
smallAsteroid;488;-2432;1;500
bigAsteroid;35;-14365;1;300
smallAsteroid;188;-14002;1;440
bigAsteroid;35;-14695;1;300
bigAsteroid;35;-15025;1;300
bigAsteroid;305;-14535;1;300
bigAsteroid;305;-14865;1;300
bigAsteroid;305;-15195;1;300
smallAsteroid;958;-15572;-1;330
smallAsteroid;948;-16322;-1;330
smallAsteroid;948;-16752;-1;330
smallAsteroid;938;-17092;-1;330
repair;505;-16735;1;0
smallAsteroid;838;-17222;-1;330
smallAsteroid;748;-17362;-1;330
smallAsteroid;898;-17362;-1;330
smallAsteroid;628;-17502;-1;330
smallAsteroid;938;-17642;-1;330
smallAsteroid;68;-17932;1;330
bigAsteroid;650;-18405;1;210
smallAsteroid;48;-18682;1;330
smallAsteroid;138;-18782;1;330
smallAsteroid;888;-18832;-1;330
smallAsteroid;848;-18942;-1;330
smallAsteroid;58;-19052;1;330
smallAsteroid;918;-19162;-1;330
smallAsteroid;288;-20162;1;500
smallAsteroid;408;-20232;1;500
smallAsteroid;888;-20202;1;500
smallAsteroid;58;-20312;1;500
smallAsteroid;158;-20372;1;500
smallAsteroid;908;-20342;1;500
smallAsteroid;808;-20442;1;500
smallAsteroid;698;-20502;1;500
smallAsteroid;568;-20542;1;500
smallAsteroid;398;-20532;1;500
smallAsteroid;48;-20862;1;500
smallAsteroid;178;-20792;1;500
smallAsteroid;868;-20972;1;500
smallAsteroid;918;-20702;1;500
smallAsteroid;198;-21172;1;500
smallAsteroid;728;-21102;1;500
smallAsteroid;858;-21332;1;500
